Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR,Team,Pos
Tanner Houck,169.0,8.0,2.7,0.9,.313,70.9%,3.97,3.79,2.7,BOS,SP
Walker Buehler,140.0,7.6,3.0,1.2,.307,70.0%,4.57,4.35,1.4,BOS,SP
Kutter Crawford,125.0,8.7,2.6,1.4,.293,71.5%,4.38,4.27,1.7,BOS,SP
Lucas Giolito,100.0,9.0,3.1,1.3,.298,71.7%,4.36,4.23,1.2,BOS,SP
Richard Fitts,18.0,7.1,2.4,1.3,.299,70.6%,4.45,4.40,0.2,BOS,SP
Cooper Criswell,9.0,7.1,2.5,1.1,.310,70.1%,4.31,4.16,0.1,BOS,SP
Patrick Sandoval,9.0,9.0,3.4,0.9,.304,73.7%,3.70,3.74,0.1,BOS,SP
Total,908.0,8.9,2.9,1.1,.305,71.8%,4.02,3.85,14.9,BOS,SP
Liam Hendriks,63.0,10.1,2.6,1.1,.296,73.5%,3.70,3.52,1.0,BOS,RP
Aroldis Chapman,65.0,12.8,4.9,0.8,.296,77.6%,3.13,3.26,1.1,BOS,RP
Justin Slaten,66.0,9.3,3.4,1.0,.302,73.0%,3.87,3.79,0.6,BOS,RP
Greg Weissert,62.0,8.6,3.4,1.1,.304,72.0%,4.16,4.08,0.2,BOS,RP
Brennan Bernardino,61.0,9.0,3.5,0.9,.306,73.6%,3.79,3.87,0.3,BOS,RP
Michael Fulmer,60.0,8.8,3.5,1.1,.300,72.1%,4.20,4.16,0.1,BOS,RP
Justin Wilson,57.0,9.3,3.1,1.1,.297,73.7%,3.83,3.84,0.1,BOS,RP
Josh Winckowski,52.0,7.8,2.8,1.0,.309,72.1%,3.94,3.88,0.2,BOS,RP
Garrett Whitlock,50.0,9.2,2.2,1.1,.302,73.2%,3.62,3.48,0.2,BOS,RP
Richard Fitts,44.0,7.1,2.4,1.3,.299,70.6%,4.45,4.40,0.0,BOS,RP
Luis Guerrero,40.0,8.9,4.4,1.2,.297,71.6%,4.53,4.54,0.0,BOS,RP
Quinn Priester,36.0,8.1,2.6,0.9,.311,72.1%,3.77,3.67,0.1,BOS,RP
Zack Kelly,32.0,9.4,4.1,1.0,.303,72.9%,4.05,4.05,0.0,BOS,RP
Zach Penrod,30.0,9.5,4.1,1.0,.300,73.6%,4.01,4.07,0.1,BOS,RP
Austin Adams,28.0,9.7,4.2,1.1,.297,71.1%,4.31,4.29,0.0,BOS,RP
Kutter Crawford,26.0,8.7,2.6,1.4,.293,71.5%,4.38,4.27,0.0,BOS,RP
Cooper Criswell,24.0,7.1,2.5,1.1,.310,70.1%,4.31,4.16,0.0,BOS,RP
Chase Shugart,21.0,7.3,3.4,1.2,.303,70.6%,4.58,4.53,0.0,BOS,RP
Lucas Giolito,18.0,9.0,3.1,1.3,.298,71.7%,4.36,4.23,0.0,BOS,RP
Walker Buehler,14.0,7.6,3.0,1.2,.307,70.0%,4.57,4.35,0.0,BOS,RP
Hunter Dobbins,12.0,7.4,2.9,1.1,.300,71.3%,4.21,4.23,0.0,BOS,RP
Tanner Houck,10.0,8.0,2.7,0.9,.313,70.9%,3.97,3.79,0.0,BOS,RP
Patrick Sandoval,8.0,9.0,3.4,0.9,.304,73.7%,3.70,3.74,0.0,BOS,RP
Total,550.0,9.1,3.3,1.1,.302,72.7%,3.98,3.93,4.1,BOS,RP
Jonathan Cannon,156.0,6.8,3.2,1.4,.295,70.9%,4.75,4.88,1.1,CHW,SP
Davis Martin,141.0,7.7,3.3,1.3,.294,71.6%,4.51,4.64,1.3,CHW,SP
Sean Burke,133.0,8.3,4.0,1.4,.288,72.0%,4.67,4.84,1.1,CHW,SP
Drew Thorpe,117.0,7.0,3.3,1.5,.290,71.0%,4.79,4.94,0.9,CHW,SP
Bryse Wilson,88.0,6.6,3.0,1.6,.294,70.2%,5.08,5.18,0.4,CHW,SP
Nick Nastrini,70.0,7.6,4.7,1.6,.284,70.4%,5.33,5.52,0.1,CHW,SP
Noah Schultz,74.0,8.0,3.2,1.2,.297,72.7%,4.09,4.28,0.9,CHW,SP
Hagen Smith,26.0,8.1,3.4,1.4,.289,69.6%,4.88,4.69,0.2,CHW,SP
Ky Bush,36.0,6.5,4.1,1.4,.293,71.4%,4.87,5.16,0.1,CHW,SP
Jake Eder,28.0,7.3,4.2,1.3,.292,71.8%,4.72,5.01,0.1,CHW,SP
Mason Adams,28.0,6.1,2.8,1.2,.301,70.2%,4.58,4.68,0.2,CHW,SP
Shane Smith,18.0,8.2,3.3,1.2,.294,72.5%,4.16,4.31,0.2,CHW,SP
Total,915.0,7.3,3.5,1.4,.292,71.2%,4.72,4.87,6.8,CHW,SP
Justin Anderson,65.0,9.1,4.0,1.1,.294,73.4%,4.10,4.25,0.3,CHW,RP
Prelander Berroa,67.0,9.4,4.9,1.2,.288,74.2%,4.24,4.54,0.0,CHW,RP
Fraser Ellard,65.0,8.5,4.4,1.1,.296,73.9%,4.10,4.43,0.1,CHW,RP
Gus Varland,62.0,8.1,3.5,1.2,.295,72.5%,4.28,4.44,0.0,CHW,RP
Steven Wilson,61.0,8.5,4.4,1.6,.279,72.3%,4.95,5.22,-0.3,CHW,RP
Jared Shuster,68.0,7.0,3.4,1.3,.290,72.5%,4.47,4.72,0.0,CHW,RP
Jordan Leasure,54.0,8.8,4.2,1.3,.289,73.4%,4.37,4.59,0.0,CHW,RP
Cam Booser,50.0,9.3,3.7,1.3,.289,74.8%,4.01,4.24,0.1,CHW,RP
Shane Smith,48.0,8.2,3.3,1.2,.294,72.5%,4.16,4.31,0.0,CHW,RP
Ron Marinaccio,44.0,8.6,4.3,1.2,.291,72.0%,4.49,4.67,0.0,CHW,RP
Tyler Gilbert,40.0,7.5,2.7,1.3,.293,73.3%,4.15,4.39,0.0,CHW,RP
Penn Murfee,37.0,8.0,3.5,1.4,.292,72.1%,4.61,4.74,0.0,CHW,RP
Jairo Iriarte,32.0,8.2,4.0,1.2,.293,72.1%,4.40,4.62,0.0,CHW,RP
Dan Altavilla,28.0,8.6,3.9,1.2,.294,72.9%,4.30,4.44,0.0,CHW,RP
Anthony Hoopii-Tuionetoa,26.0,7.6,3.9,1.4,.289,71.8%,4.79,5.00,0.0,CHW,RP
Bryse Wilson,24.0,6.6,3.0,1.6,.294,70.2%,5.08,5.18,0.0,CHW,RP
Adisyn Coffey,22.0,7.3,4.0,1.3,.293,71.8%,4.70,4.91,0.0,CHW,RP
Trey McGough,21.0,7.8,3.6,1.2,.291,73.4%,4.26,4.56,0.0,CHW,RP
Jake Eder,17.0,7.3,4.2,1.3,.292,71.8%,4.72,5.01,0.0,CHW,RP
Nick Nastrini,15.0,7.6,4.7,1.6,.284,70.4%,5.33,5.52,0.0,CHW,RP
Ky Bush,12.0,6.5,4.1,1.4,.293,71.4%,4.87,5.16,0.0,CHW,RP
Sean Burke,10.0,8.3,4.0,1.4,.288,72.0%,4.67,4.84,0.0,CHW,RP
Jonathan Cannon,8.0,6.8,3.2,1.4,.295,70.9%,4.75,4.88,0.0,CHW,RP
Total,543.0,8.2,3.9,1.3,.291,72.8%,4.41,4.63,0.0,CHW,RP
Tanner Bibee,173.0,9.2,2.5,1.3,.289,73.6%,3.88,3.92,2.5,CLE,SP
Ben Lively,148.0,7.1,2.8,1.4,.299,70.2%,4.80,4.74,0.7,CLE,SP
Gavin Williams,143.0,9.1,3.4,1.2,.293,72.6%,4.11,4.12,1.6,CLE,SP
Luis L. Ortiz,127.0,7.6,3.3,1.3,.301,70.7%,4.62,4.57,0.7,CLE,SP
Triston McKenzie,106.0,8.5,3.9,1.5,.290,71.4%,4.85,4.87,0.4,CLE,SP
Shane Bieber,86.0,9.0,2.2,1.0,.303,73.3%,3.61,3.48,1.5,CLE,SP
Joey Cantillo,72.0,9.2,3.9,1.1,.292,73.8%,3.98,4.17,0.8,CLE,SP
Slade Cecconi,35.0,8.1,2.1,1.4,.292,72.1%,4.20,4.20,0.4,CLE,SP
