Name,Pos,Team,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
George Klassen,SP,LAA,9,8.2,4.1,1.3,0.298,71.50%,4.68,4.73,0.1
Anthony Molina,RP,COL,28,6.6,2.8,1.4,0.313,69.30%,4.98,4.73,0
Jack Kochanowicz,SP,LAA,153,5.2,2.5,1.2,0.308,69.30%,4.66,4.73,1.2
Jack Kochanowicz,RP,LAA,10,5.2,2.5,1.2,0.308,69.30%,4.66,4.73,0
Carlos Rodriguez,SP,MIL,18,8.1,3.4,1.4,0.283,72.20%,4.51,4.74,0.1
Carlos Rodriguez,RP,MIL,12,8.1,3.4,1.4,0.283,72.20%,4.51,4.74,0
Tony Gonsolin,SP,LAD,135,7.9,3.1,1.5,0.293,71.00%,4.73,4.74,0.9
Tony Gonsolin,RP,LAD,10,7.9,3.1,1.5,0.293,71.00%,4.73,4.74,0
Ryan Cusick,RP,ATH,12,7.6,4.6,1.1,0.289,72.10%,4.45,4.74,0
Owen White,SP,TEX,9,6.9,3.3,1.3,0.295,71.00%,4.59,4.74,0
Owen White,RP,TEX,37,6.9,3.3,1.3,0.295,71.00%,4.59,4.74,-0.1
Doug Nikhazy,SP,CLE,28,8.1,4.3,1.3,0.29,72.50%,4.52,4.75,0.1
Doug Nikhazy,RP,CLE,22,8.1,4.3,1.3,0.29,72.50%,4.52,4.75,0
Thaddeus Ward,RP,BAL,30,7.4,4.5,1.1,0.297,72.10%,4.45,4.75,-0.1
Michael Lorenzen,SP,FA,153,7.2,3.7,1.3,0.297,70.90%,4.69,4.75,1
Ben Lively,SP,CLE,166,7.1,2.8,1.4,0.299,70.20%,4.81,4.75,0.8
Adam Cimber,RP,FA,33,6.4,3.1,1.2,0.299,69.90%,4.65,4.75,-0.2
Robby Ahlstrom,RP,TEX,26,7.8,4.1,1.3,0.291,72.60%,4.49,4.76,0
Victor Mederos,RP,LAA,38,7.2,3.8,1.2,0.299,71.20%,4.6,4.76,-0.1
Tanner Dodson,RP,ATH,28,6.5,5,0.8,0.301,71.90%,4.39,4.76,-0.1
Antonio Senzatela,SP,COL,115,5.8,2.4,1.3,0.318,68.10%,5.11,4.76,1.2
Antonio Senzatela,RP,COL,15,5.8,2.4,1.3,0.318,68.10%,5.11,4.76,0
Andrew Abbott,SP,CIN,169,8.7,3.3,1.6,0.294,72.30%,4.75,4.77,1.8
Emiliano Teodo,SP,TEX,18,8.1,4.6,1.2,0.295,71.70%,4.6,4.77,0.1
Jake Eder,SP,CHW,9,7.7,4,1.3,0.291,72.70%,4.45,4.77,0.1
Jake Eder,RP,CHW,26,7.7,4,1.3,0.291,72.70%,4.45,4.77,0
Zach Messinger,RP,NYY,17,7.6,3.3,1.4,0.286,71.90%,4.54,4.77,0
Ryan Bergert,SP,SDP,9,7.4,3.3,1.4,0.287,71.70%,4.57,4.78,0
Ryan Bergert,RP,SDP,17,7.4,3.3,1.4,0.287,71.70%,4.57,4.78,0
Joey Lucchesi,SP,FA,64,5.8,3.6,1.1,0.301,70.80%,4.61,4.78,0.3
Sean Burke,SP,CHW,129,8.3,4,1.4,0.288,72.10%,4.62,4.79,1.1
Sean Burke,RP,CHW,12,8.3,4,1.4,0.288,72.10%,4.62,4.79,0
Dane Acker,SP,TEX,9,7.8,3.7,1.4,0.287,71.80%,4.6,4.79,0.1
Dane Acker,RP,TEX,21,7.8,3.7,1.4,0.287,71.80%,4.6,4.79,0
Justin Jarvis,RP,LAD,17,7.7,3.1,1.5,0.287,72.00%,4.62,4.79,0
Hunter Strickland,RP,FA,44,7.7,3.7,1.4,0.288,71.10%,4.69,4.79,-0.1
Richard Fitts,SP,BOS,128,6.4,2.7,1.4,0.3,69.40%,4.87,4.79,0.6
Richard Fitts,RP,BOS,12,6.4,2.7,1.4,0.3,69.40%,4.87,4.79,0
Ross Stripling,SP,FA,114,6,2.3,1.5,0.298,69.90%,4.8,4.79,0.6
