Name,Pos,Team,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Eduard Bazardo,RP,SEA,37,8.8,3,1.1,0.287,74.20%,3.68,3.9,0
Brendan White,RP,DET,24,8.3,3.3,0.9,0.299,72.40%,3.84,3.9,0
Noah Cameron,SP,KCR,9,8.1,2.6,1.1,0.297,72.90%,3.84,3.9,0.1
Noah Cameron,RP,KCR,22,8.1,2.6,1.1,0.297,72.90%,3.84,3.9,0
Scott Alexander,RP,FA,46,7.3,3,0.8,0.307,72.90%,3.76,3.9,0.2
Robert Stephenson,RP,LAA,44,10.3,3.1,1.3,0.29,74.40%,3.91,3.91,0.1
Andrew Chafin,RP,FA,54,9.8,4,1,0.296,74.70%,3.8,3.91,0.2
Jared Jones,SP,PIT,159,9.3,3.1,1.1,0.294,73.00%,3.92,3.91,2.5
Luke Jackson,RP,FA,42,9.3,3.9,1,0.3,73.40%,3.87,3.91,0.2
Jared Jones,RP,PIT,10,9.3,3.1,1.1,0.294,73.00%,3.92,3.91,0
Zack Thompson,RP,STL,55,9.2,3.7,1,0.293,74.90%,3.65,3.91,0.1
Nate Pearson,RP,CHC,68,9.9,3.5,1.1,0.289,73.90%,3.86,3.92,0.5
Kyle Finnegan,RP,WSH,65,8.8,3.3,1,0.296,73.30%,3.85,3.92,0.4
Brandon Eisert,RP,TOR,36,8.4,3.1,1,0.295,74.00%,3.74,3.92,0.1
Sawyer Gipson-Long,SP,DET,55,8,2.4,1.1,0.294,71.90%,3.93,3.92,0.7
Justin Topa,RP,MIN,56,8,3.2,0.9,0.307,72.20%,3.94,3.92,0.1
Sawyer Gipson-Long,RP,DET,26,8,2.4,1.1,0.294,71.90%,3.93,3.92,0
Sean Reid-Foley,RP,NYM,59,9.9,4.4,1,0.29,74.60%,3.75,3.93,0.2
Richard Lovelady,RP,TBR,55,8.4,3.1,1,0.298,73.20%,3.81,3.93,0
Brady Basso,SP,ATH,73,7.9,2.6,1.1,0.288,73.70%,3.7,3.93,1.1
Brady Basso,RP,ATH,36,7.9,2.6,1.1,0.288,73.70%,3.7,3.93,0.1
Joe Boyle,SP,ATH,18,10.7,5.3,0.8,0.287,75.00%,3.66,3.94,0.3
Joe Boyle,RP,ATH,40,10.7,5.3,0.8,0.287,75.00%,3.66,3.94,0.1
Shane Smith,RP,MIL,15,9,3.1,1.1,0.294,73.40%,3.84,3.94,0
Jalen Beeks,RP,FA,52,8.6,3.3,1,0.296,73.90%,3.79,3.94,0.3
Brady Singer,SP,KCR,177,7.9,2.7,1,0.31,71.10%,4.12,3.94,2.5
Randy Dobnak,RP,MIN,17,7.5,3,0.9,0.308,71.90%,3.96,3.94,0
Edward Cabrera,SP,MIA,111,9.9,4.2,1,0.301,72.80%,3.99,3.95,1.6
Edward Cabrera,RP,MIA,28,9.9,4.2,1,0.301,72.80%,3.99,3.95,0
Robbie Ray,SP,SFG,161,9.7,2.9,1.3,0.289,73.20%,3.98,3.95,1.9
Ryan Borucki,RP,FA,48,8.8,3.3,1,0.297,73.50%,3.8,3.95,0.2
Ryan Fernandez,RP,STL,66,8.8,3.6,1,0.297,73.40%,3.85,3.95,0.2
Bryan Woo,SP,SEA,144,8.5,2.1,1.3,0.286,72.80%,3.86,3.95,1.8
Jack Perkins,RP,ATH,10,8.5,3.6,0.9,0.291,73.60%,3.71,3.95,0
Seth Lugo,SP,KCR,197,7.9,2.5,1.1,0.305,71.20%,4.12,3.95,2.9
Josh Winckowski,SP,BOS,9,7.7,2.8,1,0.309,71.80%,4.01,3.95,0.1
Josh Winckowski,RP,BOS,53,7.7,2.8,1,0.309,71.80%,4.01,3.95,0.1
Alex Vesia,RP,LAD,60,11.2,3.9,1.3,0.278,76.50%,3.74,3.96,0.4
José Leclerc,RP,FA,64,10.2,3.9,1.1,0.283,74.20%,3.84,3.96,0.4
Clayton Beeter,SP,NYY,9,10.2,3.7,1.2,0.284,74.90%,3.79,3.96,0.2
Clayton Beeter,RP,NYY,46,10.2,3.7,1.2,0.284,74.90%,3.79,3.96,0.1
Mason Montgomery,RP,TBR,59,9.1,3.2,1.1,0.286,74.50%,3.74,3.96,0.1
Brent Headrick,RP,MIN,35,9,2.8,1.2,0.291,73.70%,3.88,3.96,0
Lance McCullers Jr.,SP,HOU,65,8.7,3.4,1,0.304,72.50%,3.95,3.96,0.9
Lance McCullers Jr.,RP,HOU,22,8.7,3.4,1,0.304,72.50%,3.95,3.96,0
Elvis Peguero,RP,MIL,50,8.5,3.7,0.9,0.304,72.90%,3.89,3.96,0
J.B. Bukauskas,RP,MIL,37,7.9,3,1,0.302,72.70%,3.87,3.96,0
John Michael Bertrand,RP,SFG,13,6.4,2.4,0.9,0.305,72.30%,3.86,3.96,0
Porter Hodge,RP,CHC,66,9.8,4.2,1,0.292,74.40%,3.77,3.97,0.3
Scott Barlow,RP,FA,62,9.4,3.8,1,0.297,73.20%,3.93,3.97,0.2
Bryan King,RP,HOU,61,9,3.6,1,0.298,74.00%,3.79,3.97,0.2
Pedro Avila,RP,CLE,54,8.7,3.4,1,0.303,73.00%,3.95,3.97,0
Landen Roupp,SP,SFG,91,8.6,3.6,1,0.298,72.60%,3.94,3.97,1
Landen Roupp,RP,SFG,26,8.6,3.6,1,0.298,72.60%,3.94,3.97,0
Ty Madden,SP,DET,9,8.4,2.9,1.1,0.289,72.60%,3.91,3.97,0.1
Total,RP,COL,541,8.1,3.7,1.3,0.311,70.60%,4.76,4.59,0.5
Ty Madden,RP,DET,44,8.4,2.9,1.1,0.289,72.60%,3.91,3.97,0.1
Tayler Saucedo,RP,SEA,56,8.4,3.7,0.9,0.292,74.50%,3.61,3.97,0
Cameron Weston,RP,BAL,12,8.3,2.9,1.1,0.296,73.00%,3.86,3.97,0
Walter Pennington,RP,TEX,55,8.2,3.6,0.9,0.3,73.80%,3.76,3.97,0.1
Braxton Ashcraft,SP,PIT,9,7.9,2.4,1.1,0.3,71.80%,4.05,3.97,0.1
Braxton Ashcraft,RP,PIT,33,7.9,2.4,1.1,0.3,71.80%,4.05,3.97,0
Ryne Stanek,RP,FA,55,10.1,3.8,1.1,0.287,74.30%,3.88,3.98,0.2
Nick Lodolo,SP,CIN,145,9.8,2.9,1.2,0.303,72.70%,3.98,3.98,2.5
Jorge Alcala,RP,MIN,62,9.7,3.5,1.2,0.292,73.40%,3.98,3.98,0.4
John Brebbia,RP,FA,48,9.5,3,1.3,0.289,73.70%,3.97,3.98,0.3
Max Scherzer,SP,FA,137,9.4,2.3,1.4,0.286,73.20%,3.98,3.98,2.2
Bailey Ober,SP,MIN,181,9.3,2.2,1.4,0.289,73.20%,4.03,3.98,2.6
Jesús Luzardo,SP,MIA,152,9.2,3,1.2,0.296,73.50%,3.98,3.98,2.1
Jacob Lopez,RP,TBR,24,9.2,3.5,1.1,0.287,74.20%,3.74,3.98,0
Riley O'Brien,RP,STL,51,9,4.2,0.9,0.299,73.80%,3.78,3.98,0.1
Lael Lockhart,RP,DET,22,8.5,3.2,1,0.29,73.80%,3.76,3.98,0
David Peterson,SP,NYM,168,8.4,3.4,1,0.297,74.60%,3.66,3.98,2
Chris Paddack,SP,MIN,90,8.3,2.2,1.3,0.3,71.80%,4.12,3.98,1.3
Chris Paddack,RP,MIN,40,8.3,2.2,1.3,0.3,71.80%,4.12,3.98,0
Steven Matz,SP,STL,88,8,2.5,1.1,0.296,72.50%,3.93,3.98,1.2
Steven Matz,RP,STL,28,8,2.5,1.1,0.296,72.50%,3.93,3.98,0
Jake Cousins,RP,NYY,62,10.3,4.3,1,0.29,74.70%,3.78,3.99,0.4
Nestor Cortes,SP,NYY,73,9.2,2.2,1.4,0.279,74.90%,3.84,3.99,1.2
Nestor Cortes,RP,NYY,38,9.2,2.2,1.4,0.279,74.90%,3.84,3.99,0.1
José Soriano,SP,LAA,161,8.8,3.8,0.9,0.308,72.80%,3.92,3.99,2.3
Shawn Armstrong,RP,FA,51,8.7,2.9,1.1,0.293,72.60%,3.96,3.99,0.3
Eduardo Rodriguez,SP,ARI,154,8.2,2.9,1.1,0.303,72.20%,4.07,3.99,2
Quinn Priester,SP,BOS,36,7.5,2.9,1,0.311,71.00%,4.1,3.99,0.5
Quinn Priester,RP,BOS,30,7.5,2.9,1,0.311,71.00%,4.1,3.99,0
Cionel Pérez,RP,BAL,56,8.3,4,0.8,0.3,74.10%,3.71,4,0
Jose A. Ferrer,RP,WSH,59,7.7,3.3,0.9,0.299,73.60%,3.74,4,0.2
Yilber Diaz,SP,ARI,9,9.3,3.7,1.1,0.299,72.60%,4.07,4.01,0.1
Yilber Diaz,RP,ARI,35,9.3,3.7,1.1,0.299,72.60%,4.07,4.01,0
Shawn Dubin,RP,HOU,52,9.2,3.9,1,0.299,73.20%,3.94,4.01,0.1
Bryce Elder,SP,ATL,27,7.6,2.8,1,0.308,71.40%,4.12,4.01,0.3
Bryce Elder,RP,ATL,15,7.6,2.8,1,0.308,71.40%,4.12,4.01,0
Edwin Uceta,RP,TBR,66,9.6,3.5,1.2,0.282,74.10%,3.85,4.02,0.4
Beau Brieske,RP,DET,67,8.7,3.3,1.1,0.289,73.40%,3.91,4.02,0.2
Bryce Miller,SP,SEA,175,8.6,2.4,1.3,0.285,73.50%,3.89,4.02,1.9
John Schreiber,RP,KCR,63,8.3,3.5,1,0.303,72.20%,4.01,4.02,0.3
Andrew Saalfrank,RP,ARI,28,8.1,4.4,0.7,0.311,73.50%,3.86,4.02,0
Declan Cronin,RP,MIA,70,7.6,3.5,0.9,0.31,71.70%,4.04,4.02,0.2
Tyler Rogers,RP,SFG,70,6.5,2.1,1,0.304,70.50%,4.07,4.02,0.1
Michael Kopech,RP,LAD,66,10.7,4,1.2,0.289,73.70%,4.02,4.03,0.3
Kyle Amendt,RP,ARI,24,9.6,4.3,1,0.3,73.20%,4.03,4.03,0
Zack Kelly,RP,BOS,44,9.4,4.1,1,0.303,72.90%,4.03,4.03,0.1
Tyler Ferguson,RP,ATH,65,9.1,4.1,0.9,0.288,74.20%,3.72,4.03,0.3
Trent Thornton,RP,SEA,68,8.8,2.9,1.2,0.286,74.00%,3.83,4.03,0.1
Brandon Young,SP,BAL,9,8.5,2.6,1.2,0.29,73.10%,3.93,4.03,0.1
Brandon Young,RP,BAL,26,8.5,2.6,1.2,0.29,73.10%,3.93,4.03,0
Tommy Henry,RP,ARI,26,8.3,3,1.1,0.299,73.30%,3.95,4.03,0
Cristian Javier,RP,HOU,17,9.9,3,1.4,0.282,73.70%,4.02,4.04,0
Nic Enright,RP,CLE,35,9.1,2.9,1.3,0.288,73.50%,3.98,4.04,0
Huascar Brazobán,RP,NYM,54,9.1,4,1,0.291,73.70%,3.85,4.04,0
Adam Ottavino,RP,FA,47,9,3.6,1,0.298,70.80%,4.17,4.04,0.2
Michael Tonkin,RP,MIN,67,8.9,3.3,1.1,0.298,71.90%,4.12,4.04,0.1
Joe Rock,SP,TBR,9,7.6,2.5,1.1,0.294,73.00%,3.86,4.04,0.1
Joe Rock,RP,TBR,17,7.6,2.5,1.1,0.294,73.00%,3.86,4.04,0
Ryan Pepiot,SP,TBR,161,9.6,3.3,1.2,0.285,73.30%,3.97,4.05,2.2
Anthony Banda,RP,LAD,63,8.9,3.3,1.1,0.294,74.30%,3.83,4.05,0.4
Troy Taylor,RP,SEA,53,8.9,3.6,1,0.29,73.90%,3.82,4.05,0.1
Hagen Danner,RP,TOR,48,8.9,3.2,1.2,0.292,73.20%,3.99,4.05,0
JT Chargois,RP,SEA,60,8.7,3.3,1.1,0.289,73.60%,3.85,4.05,0.1
Merrill Kelly,SP,ARI,172,8.3,2.9,1.1,0.303,71.80%,4.19,4.05,1.9
Carlos Vargas,RP,SEA,42,7.9,3.6,0.9,0.296,73.60%,3.77,4.05,0
Kyle Wright,SP,KCR,91,7.6,3,1,0.31,70.60%,4.19,4.05,1.2
Kyle Wright,RP,KCR,24,7.6,3,1,0.31,70.60%,4.19,4.05,0
Jordan Montgomery,SP,ARI,81,7.2,2.5,1.1,0.306,71.10%,4.17,4.05,0.9
Jordan Montgomery,RP,ARI,37,7.2,2.5,1.1,0.306,71.10%,4.17,4.05,0
Alex Cornwell,RP,STL,10,6.6,2.8,0.9,0.302,73.00%,3.8,4.05,0
Connor Thomas,RP,STL,12,6.1,2.3,0.9,0.302,72.60%,3.82,4.05,0
Erik Sabrowski,RP,CLE,58,10.1,4.5,1.1,0.292,75.00%,3.86,4.06,0
Zach Penrod,RP,BOS,48,9.5,4.1,1,0.3,73.60%,3.99,4.06,0.1
Bryan Baker,RP,BAL,54,9.3,3.7,1.1,0.288,74.10%,3.91,4.06,0.1
Carlos Estévez,RP,FA,64,9.1,3.1,1.2,0.289,73.40%,4,4.06,0.3
Alex Faedo,RP,DET,46,8.8,3.1,1.2,0.289,73.00%,4.02,4.06,0
Hayden Wesneski,SP,CHC,27,8.6,2.8,1.2,0.295,72.90%,4.02,4.07,0.3
Greg Weissert,RP,BOS,63,8.6,3.4,1.1,0.303,72.10%,4.14,4.07,0.3
Hayden Wesneski,RP,CHC,40,8.6,2.8,1.2,0.295,72.90%,4.02,4.07,0
Nick Robertson,RP,TOR,44,8.5,3.4,1.1,0.293,73.20%,3.94,4.07,0
Kenta Maeda,SP,DET,34,8.4,2.4,1.3,0.29,72.00%,4.1,4.07,0.5
Kenta Maeda,RP,DET,36,8.4,2.4,1.3,0.29,72.00%,4.1,4.07,0
Max Meyer,SP,MIA,99,8.1,3,1.1,0.303,71.70%,4.15,4.07,1.4
Max Meyer,RP,MIA,33,8.1,3,1.1,0.303,71.70%,4.15,4.07,0
Tommy Nance,RP,TOR,58,8,3.2,1,0.3,72.10%,4.03,4.07,0.1
Dylan Covey,RP,NYM,56,7.7,3.4,0.9,0.299,73.00%,3.88,4.07,0.1
T.J. Brock,RP,TOR,21,9.2,3.8,1.1,0.293,73.30%,3.97,4.08,0
Tylor Megill,SP,NYM,149,8.8,3.2,1.2,0.291,73.40%,3.93,4.08,1.8
Tylor Megill,RP,NYM,10,8.8,3.2,1.2,0.291,73.40%,3.93,4.08,0
Tristan Beck,SP,SFG,18,7.8,2.5,1.2,0.294,71.90%,4.07,4.08,0.2
Tristan Beck,RP,SFG,46,7.8,2.5,1.2,0.294,71.90%,4.07,4.08,0
Trevor McDonald,SP,SFG,9,7.1,2.9,0.9,0.303,71.20%,4.04,4.08,0.1
Trevor McDonald,RP,SFG,38,7.1,2.9,0.9,0.303,71.20%,4.04,4.08,0
Kyle Harrison,SP,SFG,145,9.2,3.3,1.2,0.293,72.60%,4.08,4.09,1.3
Eric Orze,RP,NYM,40,9.2,3.8,1.1,0.288,74.00%,3.88,4.09,0
Cristian Mena,SP,ARI,9,8.3,3.4,1,0.303,71.70%,4.16,4.09,0.1
Cristian Mena,RP,ARI,15,8.3,3.4,1,0.303,71.70%,4.16,4.09,0
Jorge López,RP,FA,56,8.1,3.2,1,0.303,72.40%,4.01,4.09,0.2
Evan Sisk,RP,KCR,28,8.1,4,0.9,0.307,72.90%,3.99,4.09,0
Yu-Min Lin,RP,ARI,10,7.9,3.3,1,0.304,72.30%,4.03,4.09,0
Derek Law,RP,WSH,77,7.8,3.1,1,0.297,72.70%,3.97,4.09,0.3
Wilmer Flores,RP,DET,15,7.8,3.2,1,0.296,72.10%,3.99,4.09,0
Keynan Middleton,RP,FA,18,9.2,3.8,1.1,0.294,73.20%,4.03,4.1,0.1
Drew Smyly,RP,FA,55,8.9,2.8,1.3,0.289,74.00%,3.96,4.1,0.3
Joey Wentz,RP,PIT,67,8.9,3.5,1.1,0.295,73.20%,4.05,4.1,0.2
Bennett Sousa,RP,HOU,41,8.7,3.6,1.1,0.297,73.70%,3.94,4.1,0
Mitch Keller,SP,PIT,182,8.1,2.8,1.1,0.302,70.30%,4.27,4.1,2.3
Mason Englert,RP,DET,41,8,2.7,1.1,0.293,72.00%,4.07,4.1,0
Ronny Henriquez,RP,MIN,52,7.8,3.1,1,0.301,72.20%,4.05,4.1,0.1
Tyler Stuart,SP,WSH,9,7.7,2.8,1.1,0.293,72.40%,3.96,4.1,0.1
Tyler Stuart,RP,WSH,33,7.7,2.8,1.1,0.293,72.40%,3.96,4.1,0
Connor Noland,RP,CHC,10,6.9,2.3,1.1,0.299,72.00%,4.03,4.1,0
Andre Pallante,SP,STL,137,6.7,3.6,0.8,0.311,71.50%,4.05,4.1,1.5
Andre Pallante,RP,STL,21,6.7,3.6,0.8,0.311,71.50%,4.05,4.1,0
Dauri Moreta,RP,PIT,37,9.4,3.7,1.1,0.293,72.80%,4.11,4.11,0
Cam Booser,RP,BOS,32,9.2,3.7,1.1,0.299,73.50%,4.08,4.11,0
Josh Simpson,RP,MIA,24,9.2,4.3,1,0.299,73.90%,3.95,4.11,0
Chad Green,RP,TOR,66,8.8,2.7,1.3,0.286,73.40%,4.03,4.11,0.2
Brooks Raley,RP,FA,29,8.8,3.5,1.1,0.294,73.30%,3.96,4.11,0.1
Erik Swanson,RP,TOR,63,8.8,3.1,1.2,0.289,73.20%,4.03,4.11,0.1
Mike Baumann,RP,MIA,56,8.8,3.7,1,0.302,72.40%,4.13,4.11,0.1
Bryan Hoeing,RP,SDP,67,7.5,2.8,1.1,0.301,72.30%,4.04,4.11,0.1
Andrew Misiaszek,RP,CLE,30,9.1,3.8,1.1,0.293,74.10%,3.91,4.12,0
Carlos Hernández,RP,KCR,44,9,3.7,1.1,0.296,72.40%,4.17,4.12,0
Clarke Schmidt,SP,NYY,150,8.8,2.9,1.2,0.29,73.40%,3.94,4.12,2.2
Yu Darvish,SP,SDP,168,8.7,2.5,1.3,0.29,71.70%,4.15,4.12,2.2
Gerson Garabito,RP,TEX,42,8.5,2.9,1.2,0.295,72.40%,4.05,4.12,0
Jimmy Joyce,RP,SEA,17,8,3.3,1,0.294,72.90%,3.86,4.12,0
Joely Rodríguez,RP,FA,35,7.6,3.5,0.9,0.304,72.90%,3.95,4.12,0
Stephen Kolek,RP,SDP,22,7.6,3.1,1,0.3,72.70%,3.92,4.12,0
Casey Mize,SP,DET,154,7.3,2.5,1.1,0.298,71.10%,4.15,4.12,1.7
Hayden Birdsong,SP,SFG,104,9.5,4,1.1,0.294,72.70%,4.12,4.13,0.8
Hayden Birdsong,RP,SFG,15,9.5,4,1.1,0.294,72.70%,4.12,4.13,0
Hayden Harris,RP,ATL,42,9.4,4.1,1.1,0.297,74.20%,3.96,4.13,0
Gavin Williams,SP,CLE,152,9.1,3.4,1.2,0.293,72.60%,4.11,4.13,1.7
José Cisnero,RP,FA,33,9.1,3.9,1.1,0.295,73.30%,4.01,4.13,0.1
Brock Burke,RP,LAA,67,9,3.3,1.2,0.294,74.10%,3.98,4.13,0.5
Cody Poteet,SP,NYY,9,8.5,2.9,1.2,0.292,73.70%,3.97,4.13,0.1
Cody Poteet,RP,NYY,50,8.5,2.9,1.2,0.292,73.70%,3.97,4.13,0
Rob Zastryzny,RP,CHC,48,8.4,3.2,1.1,0.29,73.90%,3.89,4.13,0
Trent Harris,RP,SFG,24,8.2,3.4,1.1,0.296,72.30%,4.09,4.13,0
Tim Mayza,RP,NYY,58,7.5,3,1,0.3,73.20%,3.94,4.13,0.1
Yariel Rodríguez,RP,TOR,32,9.3,3.8,1.1,0.293,73.10%,4.08,4.14,0
Kendall Graveman,RP,FA,56,8.7,3.8,1,0.299,72.70%,4.05,4.14,0.1
Chris Bassitt,SP,TOR,179,8.3,3,1.1,0.294,71.90%,4.08,4.14,2.2
Zack Littell,SP,TBR,81,8,2,1.4,0.293,72.10%,4.14,4.14,0.9
Zack Littell,RP,TBR,38,8,2,1.4,0.293,72.10%,4.14,4.14,0
Sem Robberse,RP,STL,24,7.5,2.7,1.1,0.294,72.50%,4,4.14,0
Dylan Dodd,RP,ATL,45,7.3,2.3,1.2,0.296,73.00%,3.99,4.14,0
Nate Lavender,RP,NYM,14,9.6,4.1,1.1,0.284,75.00%,3.81,4.15,0
Héctor Neris,RP,FA,62,9.4,3.7,1.2,0.29,73.20%,4.08,4.15,0.1
JT Brubaker,SP,NYY,18,8.8,2.7,1.3,0.292,73.50%,4.04,4.15,0.2
Michael Fulmer,RP,BOS,70,8.8,3.5,1.1,0.299,72.10%,4.18,4.15,0.2
JT Brubaker,RP,NYY,42,8.8,2.7,1.3,0.292,73.50%,4.04,4.15,0
Dennis Santana,RP,PIT,70,8.5,3.7,1,0.3,72.20%,4.15,4.15,0.2
Jhonathan Díaz,SP,SEA,9,7.4,3.2,1,0.293,73.40%,3.79,4.15,0.1
Jhonathan Díaz,RP,SEA,26,7.4,3.2,1,0.293,73.40%,3.79,4.15,0
Zach Pop,RP,TOR,55,7.3,3.2,1,0.303,72.10%,4.05,4.15,0
James Karinchak,RP,FA,40,10.6,4.6,1.2,0.285,73.80%,4.11,4.16,0.1
Paul Sewald,RP,FA,60,9.6,3.1,1.3,0.283,73.50%,4.09,4.16,0.3
Nick Sandlin,RP,CLE,46,9.6,3.9,1.1,0.293,73.30%,4.07,4.16,0
Yariel Rodríguez,SP,TOR,108,9.3,3.8,1.1,0.293,73.00%,4.1,4.16,1.3
Matthew Boyd,SP,FA,142,8.8,2.9,1.3,0.289,73.20%,4.04,4.16,2
Bobby Miller,SP,LAD,105,8.6,3.3,1.2,0.298,72.20%,4.14,4.16,1.3
Bobby Miller,RP,LAD,22,8.6,3.3,1.2,0.298,72.20%,4.14,4.16,0
Justin Hagenman,RP,NYM,26,8.3,2.6,1.3,0.286,73.00%,4.01,4.16,0
Davis Daniel,RP,LAA,55,8.1,2.2,1.3,0.293,72.60%,4.11,4.16,0.1
Wandy Peralta,RP,SDP,53,8.1,3.7,1,0.298,74.10%,3.82,4.16,0.1
Grant Holman,RP,ATH,62,8.1,3.7,1,0.293,72.90%,3.95,4.16,0
Hunter Greene,SP,CIN,182,10.7,3.4,1.4,0.29,72.90%,4.23,4.17,3
Chayce McDermott,SP,BAL,46,9.6,4,1.2,0.286,74.00%,3.98,4.17,0.4
Chayce McDermott,RP,BAL,44,9.6,4,1.2,0.286,74.00%,3.98,4.17,0
Sean Manaea,SP,FA,176,8.9,3.1,1.3,0.293,72.80%,4.12,4.17,2.1
Austin Voth,RP,SEA,64,8.9,3,1.3,0.284,74.40%,3.93,4.17,0
Austin Bergner,RP,DET,10,8.3,3.4,1.1,0.29,72.70%,4.05,4.17,0
Kyle Nelson,RP,ARI,22,8.3,3.4,1.1,0.3,72.60%,4.13,4.17,0
Dane Dunning,SP,TEX,44,8.1,3,1.1,0.299,72.20%,4.12,4.17,0.5
Jesse Chavez,RP,FA,41,8.1,3,1.2,0.298,72.50%,4.16,4.17,0
Dane Dunning,RP,TEX,48,8.1,3,1.1,0.299,72.20%,4.12,4.17,0
Spencer Turnbull,SP,FA,98,8,3.1,1.1,0.301,71.00%,4.23,4.17,1
Michael Wacha,SP,KCR,157,7.9,2.6,1.2,0.297,71.30%,4.25,4.17,2.2
Kevin Herget,RP,NYM,34,7.8,2.4,1.3,0.285,72.90%,3.98,4.17,0
Daniel Lynch IV,SP,KCR,18,7.2,2.5,1.1,0.302,71.40%,4.19,4.17,0.2
Daniel Lynch IV,RP,KCR,53,7.2,2.5,1.1,0.302,71.40%,4.19,4.17,0
T.J. McFarland,RP,ATH,61,6.4,3.3,0.8,0.302,72.70%,3.86,4.17,0
Jake Diekman,RP,FA,38,10.2,5,1,0.293,74.70%,3.9,4.18,0
Jack Neely,RP,CHC,28,9.2,3.6,1.2,0.289,73.50%,4.05,4.18,0
Luis Garcia,SP,HOU,118,8.8,2.8,1.3,0.291,72.30%,4.22,4.18,1.3
Luis Garcia,RP,HOU,15,8.8,2.8,1.3,0.291,72.30%,4.22,4.18,0
Ethan Small,RP,SFG,40,8.3,3.5,1.1,0.29,73.50%,3.97,4.18,0
Isaiah Campbell,RP,BOS,40,8.1,3.4,1.1,0.304,71.60%,4.26,4.18,0
Austin Adams,RP,FA,45,9.9,4.1,1.1,0.29,72.30%,4.08,4.19,0.2
Randy Rodríguez,RP,SFG,53,9.1,4.1,1.1,0.29,73.30%,4.03,4.19,0
Charlie Morton,SP,FA,154,9,3.6,1.1,0.299,72.20%,4.14,4.19,1.6
Jordan Hicks,SP,SFG,131,8,3.9,0.9,0.305,71.30%,4.2,4.19,0.9
Avery Weems,RP,TEX,28,7.9,3.2,1.1,0.293,73.60%,3.93,4.19,0
José Quijada,RP,LAA,63,10.5,4.6,1.2,0.29,75.00%,3.99,4.2,0.2
Andrew Walters,RP,CLE,50,9.8,4.1,1.2,0.293,73.30%,4.17,4.2,0.1
Hunter Bigge,RP,TBR,46,9.5,4.2,1.1,0.289,73.70%,4.05,4.2,0
Kyle Nicolas,RP,PIT,62,9.2,4.2,1.1,0.297,72.90%,4.13,4.2,0
Victor Vodnik,RP,COL,70,8.8,4.1,1,0.318,71.80%,4.38,4.2,0.2
Carmen Mlodzinski,RP,PIT,61,8.2,3.5,1.1,0.3,71.80%,4.23,4.2,0.1
Quinn Mathews,SP,STL,83,8.1,3.4,1.1,0.295,73.00%,4.01,4.2,0.9
Michael Flynn,RP,TBR,26,8.9,3.5,1.1,0.292,72.40%,4.1,4.21,0
Cole Waites,RP,SFG,17,8.9,4.1,1.1,0.296,72.70%,4.16,4.21,0
Yosver Zulueta,RP,CIN,53,8.8,4.2,1,0.31,72.60%,4.15,4.21,0.1
Nick Frasso,RP,LAD,19,8.5,2.9,1.3,0.291,73.00%,4.06,4.21,0
Hunter Stratton,RP,PIT,42,8.5,3.4,1.1,0.295,72.10%,4.17,4.21,0
Lou Trivino,RP,FA,40,8.3,3.7,1.1,0.298,72.50%,4.12,4.21,0.1
Matt Krook,RP,ATH,26,8.3,4.6,0.8,0.293,74.50%,3.76,4.21,0
Andrew Morris,SP,MIN,9,7.2,2.5,1.2,0.301,71.00%,4.26,4.21,0.1
Andrew Morris,RP,MIN,10,7.2,2.5,1.2,0.301,71.00%,4.26,4.21,0
Travis Adams,RP,MIN,19,7.1,2.6,1.1,0.3,71.40%,4.21,4.21,0
Spencer Bivens,RP,SFG,50,6.9,2.9,1,0.3,71.40%,4.14,4.21,0
Keegan Thompson,RP,CHC,62,9.1,3.9,1.1,0.295,73.20%,4.11,4.22,-0.1
Enoli Paredes,RP,ATL,25,9,4.4,1,0.298,73.20%,4.09,4.22,0
José Ruiz,RP,PHI,67,8.8,3.5,1.2,0.291,73.30%,4.07,4.22,0.1
Ian Seymour,SP,TBR,9,8.5,3,1.2,0.286,73.30%,4.01,4.22,0.1
Ian Seymour,RP,TBR,12,8.5,3,1.2,0.286,73.30%,4.01,4.22,0
Carson Whisenhunt,SP,SFG,9,8.3,3.5,1.1,0.294,72.50%,4.13,4.22,0.1
Luis Gil,SP,NYY,155,10.2,4.1,1.3,0.281,74.50%,4.03,4.23,2.1
Luis Gil,RP,NYY,13,10.2,4.1,1.3,0.281,74.50%,4.03,4.23,0
Domingo Gonzalez,RP,ATL,50,9,3.8,1.1,0.297,72.50%,4.16,4.23,0
Joey Cantillo,SP,CLE,116,8.9,3.9,1.1,0.292,73.50%,4.05,4.23,1.2
Joey Cantillo,RP,CLE,17,8.9,3.9,1.1,0.292,73.50%,4.05,4.23,0
Alec Marsh,SP,KCR,88,8.7,3.2,1.2,0.3,71.10%,4.35,4.23,1.1
Alec Marsh,RP,KCR,30,8.7,3.2,1.2,0.3,71.10%,4.35,4.23,0
Jackson Kowar,RP,SEA,33,8.7,3.8,1.1,0.29,73.30%,4.01,4.23,0
Frankie Montas,SP,FA,158,8.5,3.2,1.2,0.296,72.30%,4.2,4.23,1.9
Parker Messick,SP,CLE,18,8.2,3.1,1.2,0.294,72.60%,4.09,4.23,0.2
Parker Messick,RP,CLE,15,8.2,3.1,1.2,0.294,72.60%,4.09,4.23,0
